SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM
고,사립,4,경상남도 거제시,4.0,경상남도교육청,경상남도교육청,S100000001,10000000,N,68356000,복식부기,예산세출,494144000,196870000,178550000,454247000,1871382000,S160000464,4733848000,10265893.6,S100000001,17,일반고등학교,N,거제고등학교
고,사립,4,경상남도 거창군,4.0,경상남도교육청,경상남도교육청,S100000001,8000000,N,0,복식부기,예산세출,248871000,110986000,170300000,170226000,2016569000,S160000472,2371988000,18268602.2,S100000001,17,일반고등학교,N,거창고등학교
고,사립,4,경상남도 거창군,4.0,경상남도교육청,경상남도교육청,S100000001,30000000,N,15000000,복식부기,예산세출,381012000,193468000,217134000,476345000,2605303000,S160000473,3541764000,15574167.0,S100000001,17,일반고등학교,N,거창대성고등학교
고,사립,4,경상남도 거창군,4.0,경상남도교육청,경상남도교육청,S100000001,20550000,N,30000000,복식부기,예산세출,297177000,112143000,102164000,192633000,834157000,S160000475,3046264000,15606356.9,S100000001,17,일반고등학교,N,대성일고등학교
고,사립,4,경상남도 거창군,4.0,경상남도교육청,경상남도교육청,S100000001,22178000,N,0,복식부기,예산세출,290935000,239115000,121392000,326835000,1199050000,S160000480,3876592000,13532510.0,S100000001,17,일반고등학교,N,거창중앙고등학교
고,사립,4,경상남도 진주시,4.0,경상남도교육청,경상남도교육청,S100000001,5731000,N,90000000,복식부기,예산세출,244604000,199042000,59251000,1010061000,814846000,S160000485,2726378000,18458469.5,S100000001,17,특수목적고등학교,N,경남예술고등학교
,사립,4,경상남도 양산시,,경상남도교육청,경상남도교육청,S100000001,20000000,N,45000000,복식부기,예산세출,440528000,190431000,302590000,216875000,3647564000,S160000486,4997281000,17178169.0,S100000001,17,특수목적고등학교,N,경남외국어고등학교
고,사립,4,경상남도 창원시 의창구,4.0,경상남도교육청,경상남도교육청,S100000001,7400000,N,50000000,복식부기,예산세출,380193000,123287000,34790000,352559000,1237659000,S160000492,4480216000,12506761.7,S100000001,17,일반고등학교,N,경상고등학교
,사립,4,경상남도 진주시,,경상남도교육청,경상남도교육청,S100000001,8050000,N,0,복식부기,예산세출,575846000,156015000,32095000,336401000,1334947000,S160000493,5198086000,10510921.6,S100000001,17,일반고등학교,N,경해여자고등학교
,사립,4,경상남도 고성군,,경상남도교육청,경상남도교육청,S100000001,7000000,N,0,복식부기,예산세출,365615000,111879000,139660000,225381000,1257912000,S160000495,3780397000,16264762.4,S100000001,17,일반고등학교,N,고성고등학교
